"id","submitter","submission_url","format","attachment_urls","page_start","page_end"
"200020","Wakelin, Barry, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F2007-08-14%2F0005%22;src1=sm1","txt","","",""
"200039","Albanese, Anthony, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F2007-08-14%2F0004%22;src1=sm1","txt","","",""
"200044","Crean, Simon, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F2007-08-14%2F0008%22;src1=sm1","txt","","",""
"200074","Hull, Kay, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F2007-08-14%2F0051%22;src1=sm1","txt","","",""
"200075","Crean, Simon, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F2007-08-14%2F0046%22;src1=sm1","txt","","",""
"200076","Secker, Patrick, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F2007-08-14%2F0047%22;src1=sm1","txt","","",""
"200081","McMullan, Bob, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F2007-08-14%2F0048%22;src1=sm1","txt","","",""
"200087","Ellis, Kate, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F2007-08-14%2F0056%22;src1=sm1","txt","","",""
"200089","Thomson, Kelvin, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F2007-08-14%2F0052%22;src1=sm1","txt","","",""
"200091","Albanese, Anthony, MP","https://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22chamber%2Fhansardr%2F2007-08-14%2F0070%22;src1=sm1","txt","","",""
